candle_date_time_kst,market,candle_date_time_utc,open,high,low,close,timestamp,value,volume,unit
2025-01-26 17:15:00,KRW-BTC,2025-01-26T08:15:00,157337000,157404000,157300000,157350000,1737880198390,260057681.54001,1.65291225,15
2025-01-26 17:30:00,KRW-BTC,2025-01-26T08:30:00,157337000,157345000,157195000,157324000,1737881097138,296593495.28191,1.88577597,15
2025-01-26 17:45:00,KRW-BTC,2025-01-26T08:45:00,157324000,157466000,157249000,157301000,1737881997483,748654687.87389,4.75819172,15
2025-01-26 18:00:00,KRW-BTC,2025-01-26T09:00:00,157301000,157301000,157230000,157274000,1737882894915,267923346.68215,1.70341038,15
2025-01-26 18:15:00,KRW-BTC,2025-01-26T09:15:00,157239000,157301000,157170000,157262000,1737883798159,339140091.46932,2.15698629,15
2025-01-26 18:30:00,KRW-BTC,2025-01-26T09:30:00,157260000,157300000,157021000,157187000,1737884698126,3106287829.5681,19.77510823,15
2025-01-26 18:45:00,KRW-BTC,2025-01-26T09:45:00,157185000,157221000,157095000,157176000,1737885584785,240223990.38248,1.52832996,15
2025-01-26 19:00:00,KRW-BTC,2025-01-26T10:00:00,157170000,157245000,157123000,157127000,1737886496735,413195091.20234,2.62861706,15
2025-01-26 19:15:00,KRW-BTC,2025-01-26T10:15:00,157124000,157127000,157100000,157115000,1737887394787,251776477.18388,1.6024978,15
2025-01-26 19:30:00,KRW-BTC,2025-01-26T10:30:00,157114000,157204000,157103000,157115000,1737888286816,918114185.26779,5.84292107,15
2025-01-26 19:45:00,KRW-BTC,2025-01-26T10:45:00,157134000,157198000,157100000,157198000,1737889195549,635145638.6313,4.04231404,15
2025-01-26 20:00:00,KRW-BTC,2025-01-26T11:00:00,157198000,157343000,157174000,157320000,1737890092699,386831772.45895,2.45965373,15
2025-01-26 20:15:00,KRW-BTC,2025-01-26T11:15:00,157320000,157320000,157101000,157168000,1737890996948,303738262.84231,1.93196681,15
2025-01-26 20:30:00,KRW-BTC,2025-01-26T11:30:00,157168000,157195000,157100000,157143000,1737891894697,239107219.02934,1.52162712,15
2025-01-26 20:45:00,KRW-BTC,2025-01-26T11:45:00,157141000,157188000,157138000,157182000,1737892598000,242216182.15868,1.54131043,15
