time,date,title,content
13:41,2025년 1월 24일 금요일,"美 부동산 기업, 비트코인 핵심 자산편입… “재무구조 다각화 예정”","나스닥 상장사이자 미국 부동산 서비스 기업 패덤 홀딩스가 비트코인을 통한 재무 전략 계획을 23일(현지시각) 밝혔다. 미국 달러에 의존했던 기존 재무 구조를 다각화하기 위한 전략적 선택으로 풀이된다. 패덤 홀딩스는 최근 발표한 공식 성명에서 ""회사의 재무 구조를 강화하고"
13:26,2025년 1월 24일 금요일,"코빗, ""신한카드 만들고 10만 KRW 포인트 받으세요""",출처=코빗신한은행과 실명계좌 제휴를 맺고 있는 코빗이 신한카드와 프로모션 이벤트를 진행한다. 코빗이 신한금융그룹과 협업 폭을 늘리는 모양새다.24일 코빗은 신한카드와 함께 포인트 플랜 제휴 프로모션 이벤트..
13:18,2025년 1월 24일 금요일,"""TSMC, 최근 지진으로 작년보다 더 큰 피해 입어""",세계 최대 파운드리(반도체 위탁생산) 업체인 대만 TSMC(NAS:TSM)가 최근 발생한 지진으로 작년 7.2 강진 때보다 더 큰 피해를 본 것으로 알려졌다.24일 대만 현지 언론 등에 따르면 지난 21일 남부 타이난 지역에 발생한 규모 6.4의 지진으로 TSMC 공장 피해가 예상보다 심각한 것으로 전해
13:00,2025년 1월 24일 금요일,"비트코인, 연내 20만 달러 도달?...핵심 조건은 이 '3가지'","경제 전문 웹사이트 모틀리풀이 비트코인(Bitcoin, BTC)이 20만 달러에 도달하기 위해 충족해야 할 세 가지 주요 조건을 분석했다.    현재 비트코인이 20만 달러에 도달하기까지는 여전히 큰 격차가 있다. 그러나 일부 시장 전문가는 지난 12개월 동안 150% 이상 상승한 점을 고려하면, 충분히"
12:40,2025년 1월 24일 금요일,이더리움 창립자 “정치적코인 주의해야”…트럼프 코인 사태 비판,"비탈릭 부테린 이더리움 공동 창립자가 정치적 목적을 띤 디지털자산(가상자산) 이른바 '정치적 코인'에 대한 우려를 나타냈다. 그는 이러한 코인이 정치적 뇌물과 같은 부작용을 초래할 가능성이 있다고 경고했다. 부테린은 자신의 X(옛 트위터)에서 ""정치인이 특정 토큰을 발행하면,"
12:39,2025년 1월 24일 금요일,"트럼프, 가상자산ㆍAI 행정명령에 서명…신기술 패권 장악 시동",도널드 트럼프 미국 대통령이 가상자산(암호화폐)와 인공지능(AI) 관련 행정 조치에 서명했다. 23일(현지시간) 블룸버그통신...
12:37,2025년 1월 24일 금요일,"“버핏, 가상자산 투자 확대 중…‘쥐약’ 견해 관대해질 가능성”","누홀딩스, 8600만 주 이상 보유 보유 가치 12억 달러 육박 ‘투자의 귀재’ 워런 버핏이 과거 쥐약이라고까지 경멸했던 가상자..."
12:30,2025년 1월 24일 금요일,"비트코인, 단기 하락에도 강세 전망 유지…오늘 31.8억 달러 상당 BTC 옵션 만기","24일(현지시간) 암호화폐 전문매체 뉴스BTC에 따르면, 비트코인이 10만 500달러 저항선을 돌파한 후 조정 국면에 진입했으며, 추가 상승 가능성을 모색하고 있다. 현재 비트코인은 10만 4,000달러 이하에서 거래되고 있으며, 단기적으로 하락세를 보이고 있다.   비트코인은 10만 6,800달러까지"
12:25,2025년 1월 24일 금요일,"DOGE 수장 머스크 vs 오픈AI 올트먼 충돌…""한번만 더 비열한 트윗하면""","도널드 트럼프 미국 대통령이 발표한 인공지능(AI) 합작회사 `스타게이트`를 둘러싸고 IT업계 거물들의 싸움이 점점 거칠어지고 있다.   `스타게이트`는 오픈AI와 일본 소프트뱅크, 오라클이 손잡고 내놓은 AI 합작회사다.   스타게이트의 자금 조달에 의문을 제기하며 포문을 연 일론 머스크 테슬라 최고경"
12:20,2025년 1월 24일 금요일,"트럼프 발언에 울고 웃는 시장…달러 가치 내리고 금값 올라, 비트코인 '주춤'","도널드 트럼프 미국 대통령이 기준금리 및 국제 유가 인하를 압박하는 등 시장에 영향을 끼칠 수 있는 발언을 쏟아내면서 시장이 출렁이고 있다.   23일(현지시간) 트럼프 대통령의 발언 여파로 달러 가치와 유가는 내렸으며, 금값은 오르고 미 증시도 강세를 보였다.   ◇ 트럼프 연설 후 달러인덱스 107까"
14:10,2025년 1월 24일 금요일,"SEC, 디지털자산 관리 TF 출범…리플·솔라나·도지코인 ETF 승인 속도낼까","트럼프 행정부 출범과 함께 미국 증권거래위원회(SEC)가 디지털자산(가상자산) 규제 완화를 위한 새로운 태스크포스를 가동하면서, 리플·솔라나·도지코인 등 주요 디지털자산의 상장지수펀드(ETF) 승인이 가속화될 것으로 전망된다. 23일(현지시각) 비트코인닷컴에 따르면 SEC는"
