candle_date_time_kst,market,candle_date_time_utc,open,high,low,close,timestamp,value,volume,unit
2025-01-23 09:03:00,KRW-BTC,2025-01-23T00:03:00,154916000,154953000,154801000,154801000,1737590639392,262965529.85655,1.69787145,1
2025-01-23 09:04:00,KRW-BTC,2025-01-23T00:04:00,154801000,154958000,154800000,154950000,1737590696519,48826263.30459,0.31532889,1
2025-01-23 09:05:00,KRW-BTC,2025-01-23T00:05:00,154952000,155046000,154898000,155028000,1737590759205,84914578.8348,0.54771098,1
2025-01-23 09:06:00,KRW-BTC,2025-01-23T00:06:00,154950000,155029000,154851000,154933000,1737590819762,46438126.31555,0.29968135,1
2025-01-23 09:07:00,KRW-BTC,2025-01-23T00:07:00,154934000,155016000,154856000,155013000,1737590879935,195520175.14757,1.26225189,1
2025-01-23 09:08:00,KRW-BTC,2025-01-23T00:08:00,155013000,155083000,155013000,155072000,1737590939309,132404614.99669,0.85389739,1
2025-01-23 09:09:00,KRW-BTC,2025-01-23T00:09:00,155066000,155083000,155016000,155041000,1737590999226,66824156.20028,0.43094816,1
2025-01-23 09:10:00,KRW-BTC,2025-01-23T00:10:00,155027000,155039000,154810000,154810000,1737591052661,54610629.94212,0.35253843,1
2025-01-23 09:11:00,KRW-BTC,2025-01-23T00:11:00,154921000,154968000,154843000,154847000,1737591116546,11819952.04946,0.07631449,1
2025-01-23 09:12:00,KRW-BTC,2025-01-23T00:12:00,154939000,154953000,154842000,154843000,1737591173419,18452507.77137,0.11913628,1
2025-01-23 09:13:00,KRW-BTC,2025-01-23T00:13:00,154842000,154968000,154842000,154902000,1737591239315,42483630.33449,0.27426317,1
2025-01-23 09:14:00,KRW-BTC,2025-01-23T00:14:00,154878000,154943000,154840000,154890000,1737591299933,21417592.24679,0.13827086,1
2025-01-23 09:15:00,KRW-BTC,2025-01-23T00:15:00,154876000,154903000,154810000,154903000,1737591354105,49746718.34818,0.32123094,1
2025-01-23 09:16:00,KRW-BTC,2025-01-23T00:16:00,154876000,154926000,154818000,154843000,1737591416608,15140583.62838,0.0977393,1
2025-01-23 09:17:00,KRW-BTC,2025-01-23T00:17:00,154926000,154947000,154835000,154903000,1737591478041,26450777.66746,0.17076738,1
2025-01-23 09:18:00,KRW-BTC,2025-01-23T00:18:00,154841000,154936000,154741000,154741000,1737591539371,138363229.74796,0.89378443,1
2025-01-23 09:19:00,KRW-BTC,2025-01-23T00:19:00,154741000,154780000,154741000,154741000,1737591599567,67877890.73457,0.4385833,1
2025-01-23 09:20:00,KRW-BTC,2025-01-23T00:20:00,154741000,154777000,154739000,154739000,1737591659451,147113911.0109,0.95071669,1
2025-01-23 09:21:00,KRW-BTC,2025-01-23T00:21:00,154734000,154739000,154637000,154637000,1737591717096,49663832.25975,0.32107028,1
2025-01-23 09:22:00,KRW-BTC,2025-01-23T00:22:00,154642000,154718000,154613000,154645000,1737591779976,65851561.07388,0.42582013,1
2025-01-23 09:23:00,KRW-BTC,2025-01-23T00:23:00,154645000,154729000,154518000,154537000,1737591838763,158134554.42081,1.02274696,1
2025-01-23 09:24:00,KRW-BTC,2025-01-23T00:24:00,154537000,154549000,154366000,154373000,1737591898766,147325031.6385,0.95380777,1
2025-01-23 09:25:00,KRW-BTC,2025-01-23T00:25:00,154373000,154373000,154300000,154302000,1737591958740,172571062.23076,1.11834004,1
2025-01-23 09:26:00,KRW-BTC,2025-01-23T00:26:00,154302000,154373000,154161000,154237000,1737592018808,175655186.76658,1.1388941,1
2025-01-23 09:27:00,KRW-BTC,2025-01-23T00:27:00,154238000,154341000,154237000,154336000,1737592078868,155128335.46165,1.0054008,1
2025-01-23 09:28:00,KRW-BTC,2025-01-23T00:28:00,154335000,154335000,154290000,154291000,1737592136769,112883297.3274,0.7316166,1
