candle_date_time_kst,market,candle_date_time_utc,open,high,low,close,timestamp,value,volume,unit
2025-01-23 05:36:00,KRW-BTC,2025-01-22T20:36:00,154699000,154701000,154348000,154350000,1737578339943,322226871.33163,2.08505122,3
2025-01-23 05:39:00,KRW-BTC,2025-01-22T20:39:00,154349000,154501000,154340000,154340000,1737578519809,371478805.27881,2.4063039,3
2025-01-23 05:42:00,KRW-BTC,2025-01-22T20:42:00,154340000,154557000,154340000,154414000,1737578699988,52170740.81621,0.33777193,3
2025-01-23 05:45:00,KRW-BTC,2025-01-22T20:45:00,154414000,154629000,154413000,154487000,1737578878560,252410498.70838,1.63403291,3
2025-01-23 05:48:00,KRW-BTC,2025-01-22T20:48:00,154487000,154680000,154457000,154642000,1737579056150,63562487.19144,0.41114764,3
2025-01-23 05:51:00,KRW-BTC,2025-01-22T20:51:00,154642000,154700000,154444000,154444000,1737579233108,305849136.69806,1.97944725,3
2025-01-23 05:54:00,KRW-BTC,2025-01-22T20:54:00,154444000,154935000,154440000,154899000,1737579410407,58866939.76046,0.38061588,3
2025-01-23 05:57:00,KRW-BTC,2025-01-22T20:57:00,154871000,155109000,154599000,154746000,1737579594351,79889226.62629,0.5161673,3
2025-01-23 06:00:00,KRW-BTC,2025-01-22T21:00:00,154830000,154952000,154504000,154655000,1737579779598,259470521.68146,1.67695862,3
2025-01-23 06:03:00,KRW-BTC,2025-01-22T21:03:00,154790000,154845000,154618000,154775000,1737579955345,117715155.90163,0.76081206,3
2025-01-23 06:06:00,KRW-BTC,2025-01-22T21:06:00,154774000,154853000,154680000,154680000,1737580135452,240053166.35056,1.55097306,3
2025-01-23 06:09:00,KRW-BTC,2025-01-22T21:09:00,154720000,154799000,154510000,154605000,1737580318159,124610847.53283,0.80585195,3
2025-01-23 06:12:00,KRW-BTC,2025-01-22T21:12:00,154548000,154548000,154396000,154500000,1737580491144,280123165.65468,1.81378303,3
2025-01-23 06:15:00,KRW-BTC,2025-01-22T21:15:00,154568000,154693000,154475000,154593000,1737580676309,149283883.66494,0.96605162,3
2025-01-23 06:18:00,KRW-BTC,2025-01-22T21:18:00,154593000,154614000,154442000,154471000,1737580856772,113214276.59891,0.73253624,3
2025-01-23 06:21:00,KRW-BTC,2025-01-22T21:21:00,154471000,154563000,154300000,154451000,1737581037872,274155751.19873,1.77536238,3
2025-01-23 06:24:00,KRW-BTC,2025-01-22T21:24:00,154451000,154564000,154451000,154507000,1737581209229,49841367.77257,0.32254537,3
2025-01-23 06:27:00,KRW-BTC,2025-01-22T21:27:00,154544000,154655000,154487000,154655000,1737581396271,102728611.33058,0.66467999,3
2025-01-23 06:30:00,KRW-BTC,2025-01-22T21:30:00,154676000,154914000,154676000,154806000,1737581579254,162030726.39449,1.04669576,3
2025-01-23 06:33:00,KRW-BTC,2025-01-22T21:33:00,154807000,154956000,154739000,154952000,1737581755701,247687410.02116,1.59996395,3
2025-01-23 06:36:00,KRW-BTC,2025-01-22T21:36:00,154956000,155029000,154934000,155010000,1737581935292,84216097.81612,0.54339864,3
2025-01-23 06:39:00,KRW-BTC,2025-01-22T21:39:00,155027000,155061000,154890000,154900000,1737582116233,190961404.40636,1.2321224,3
2025-01-23 06:42:00,KRW-BTC,2025-01-22T21:42:00,154900000,155075000,154900000,154996000,1737582299344,73804320.84827,0.47612975,3
2025-01-23 06:45:00,KRW-BTC,2025-01-22T21:45:00,154996000,155050000,154800000,154880000,1737582475951,222407311.11753,1.43564953,3
2025-01-23 06:48:00,KRW-BTC,2025-01-22T21:48:00,154880000,155032000,154880000,154999000,1737582656336,81254472.10011,0.52435034,3
2025-01-23 06:51:00,KRW-BTC,2025-01-22T21:51:00,155039000,155081000,154986000,155046000,1737582814366,33879579.5182,0.21852149,3
2025-01-23 06:54:00,KRW-BTC,2025-01-22T21:54:00,155079000,155137000,155041000,155048000,1737583017023,29411934.29208,0.18967927,3
2025-01-23 06:57:00,KRW-BTC,2025-01-22T21:57:00,155048000,155121000,155047000,155052000,1737583187936,64299252.33879,0.4146463,3
2025-01-23 07:00:00,KRW-BTC,2025-01-22T22:00:00,155050000,155056000,154926000,154926000,1737583378318,239285620.369,1.54348167,3
2025-01-23 07:03:00,KRW-BTC,2025-01-22T22:03:00,154980000,155081000,154915000,155081000,1737583552162,88213744.16575,0.56922611,3
2025-01-23 07:06:00,KRW-BTC,2025-01-22T22:06:00,155080000,155125000,155040000,155100000,1737583738751,360837079.00257,2.32676762,3
2025-01-23 07:09:00,KRW-BTC,2025-01-22T22:09:00,155100000,155100000,154998000,155087000,1737583915105,126707630.80266,0.81706269,3
