candle_date_time_kst,market,candle_date_time_utc,open,high,low,close,timestamp,value,volume,unit
2025-01-21 21:24:00,KRW-BTC,2025-01-21T12:24:00,156108000,156125000,155942000,155942000,1737462299317,81591866.02501,0.52292182,1
2025-01-21 21:25:00,KRW-BTC,2025-01-21T12:25:00,155932000,156031000,155781000,155858000,1737462359558,259548426.45772,1.66474777,1
2025-01-21 21:26:00,KRW-BTC,2025-01-21T12:26:00,155845000,155903000,155700000,155705000,1737462414389,77220534.64263,0.49569097,1
2025-01-21 21:27:00,KRW-BTC,2025-01-21T12:27:00,155812000,155858000,155711000,155711000,1737462479407,32840607.89479,0.21079387,1
2025-01-21 21:28:00,KRW-BTC,2025-01-21T12:28:00,155796000,155858000,155711000,155858000,1737462537432,18042513.15354,0.11581091,1
2025-01-21 21:29:00,KRW-BTC,2025-01-21T12:29:00,155857000,155940000,155775000,155918000,1737462599014,73558071.23104,0.47193529,1
2025-01-21 21:30:00,KRW-BTC,2025-01-21T12:30:00,155918000,156039000,155812000,155849000,1737462658294,77557246.54255,0.49719266,1
2025-01-21 21:31:00,KRW-BTC,2025-01-21T12:31:00,155812000,155991000,155748000,155931000,1737462719879,215360881.05014,1.38196799,1
2025-01-21 21:32:00,KRW-BTC,2025-01-21T12:32:00,155877000,156001000,155876000,156001000,1737462779113,168664987.69412,1.08124845,1
2025-01-21 21:33:00,KRW-BTC,2025-01-21T12:33:00,156001000,156253000,156000000,156253000,1737462839881,534928936.5251,3.42555382,1
2025-01-21 21:34:00,KRW-BTC,2025-01-21T12:34:00,156214000,156275000,156100000,156141000,1737462898743,105668188.13504,0.6765579,1
2025-01-21 21:35:00,KRW-BTC,2025-01-21T12:35:00,156113000,156200000,156101000,156113000,1737462959462,39555484.01327,0.25335319,1
2025-01-21 21:36:00,KRW-BTC,2025-01-21T12:36:00,156113000,156384000,156113000,156233000,1737463017838,121172599.99866,0.77534796,1
2025-01-21 21:37:00,KRW-BTC,2025-01-21T12:37:00,156243000,156384000,156243000,156323000,1737463079524,100341558.59947,0.64194798,1
2025-01-21 21:38:00,KRW-BTC,2025-01-21T12:38:00,156323000,156360000,156299000,156299000,1737463139947,91343572.78133,0.58424082,1
2025-01-21 21:39:00,KRW-BTC,2025-01-21T12:39:00,156299000,156352000,156184000,156276000,1737463199202,85079879.33894,0.54443833,1
2025-01-21 21:40:00,KRW-BTC,2025-01-21T12:40:00,156172000,156295000,156038000,156242000,1737463259780,91336130.9138,0.58475111,1
2025-01-21 21:41:00,KRW-BTC,2025-01-21T12:41:00,156242000,156242000,156060000,156060000,1737463317355,69683117.86996,0.44625683,1
2025-01-21 21:42:00,KRW-BTC,2025-01-21T12:42:00,156159000,156175000,156060000,156070000,1737463377004,79181731.50328,0.50727498,1
2025-01-21 21:43:00,KRW-BTC,2025-01-21T12:43:00,156070000,156169000,156061000,156071000,1737463434111,8457582.27,0.05418251,1
2025-01-21 21:44:00,KRW-BTC,2025-01-21T12:44:00,156071000,156110000,156070000,156109000,1737463498437,21203785.69131,0.13585706,1
2025-01-21 21:45:00,KRW-BTC,2025-01-21T12:45:00,156106000,156109000,156065000,156066000,1737463558394,171131129.01214,1.09640192,1
2025-01-21 21:46:00,KRW-BTC,2025-01-21T12:46:00,156065000,156066000,156065000,156065000,1737463618522,221642174.26111,1.42019115,1
2025-01-21 21:47:00,KRW-BTC,2025-01-21T12:47:00,156065000,156066000,156028000,156030000,1737463677754,128977409.63796,0.82651082,1
2025-01-21 21:48:00,KRW-BTC,2025-01-21T12:48:00,156030000,156030000,156000000,156000000,1737463738627,202230912.82857,1.29617555,1
2025-01-21 21:49:00,KRW-BTC,2025-01-21T12:49:00,156000000,156019000,155990000,156000000,1737463796726,52523523.24593,0.33669223,1
2025-01-21 21:50:00,KRW-BTC,2025-01-21T12:50:00,156006000,156026000,156000000,156020000,1737463859590,96348586.903,0.61753098,1
2025-01-21 21:51:00,KRW-BTC,2025-01-21T12:51:00,156010000,156084000,155980000,156002000,1737463918488,247143114.50139,1.58400091,1
2025-01-21 21:52:00,KRW-BTC,2025-01-21T12:52:00,156002000,156110000,155967000,156110000,1737463976674,57472542.49939,0.36843418,1
2025-01-21 21:53:00,KRW-BTC,2025-01-21T12:53:00,156109000,156110000,156059000,156102000,1737464036816,9130675.68349,0.05848978,1
2025-01-21 21:54:00,KRW-BTC,2025-01-21T12:54:00,156101000,156169000,156101000,156169000,1737464097095,72420443.4932,0.4638504,1
