time,date,title,content
00:13,2025년 1월 22일 수요일,"비트코인, 트럼프 첫날 실망감에도 이치모쿠 구름 위 강세 흐름",비트코인이 도널드 트럼프 대통령의 취임 첫날 행보에 대한 실망감으로 조정을 겪고 있음에도 불구하고 기술적으로 강세 영역에 머물고 있는 것으로 분석됐다. 21일(현지 시간) 코인데스크에 따르면 비트코인은 전일(월) 트럼프가 비트코인의 전략 비축을 언급하지 않는 데 따르는
00:05,2025년 1월 22일 수요일,"트럼프 2기 개막…암호화폐 시장 득일까, 실일까",[디지털투데이 김예슬 기자] 도널드 트럼프가 제 47대 미국 대통령으로 취임하면서 암호화폐 시장에 큰 변화가 예상되고 있다.20일(이하 현지시간) 블록체인 매체 코인텔레그래프에 따르면 트럼프는 지난해 대선 캠페인 동안 암호화폐에 대한 관심을 드러내며 이 분야를 차기 행정부에서 우선순위로 삼을 것을 강조했
23:58,2025년 1월 21일 화요일,"톤코인(TON), 텔레그램 독점 결제 수단 지정","지원을 중단한다고 발표했다. 이로써 TON은 텔레그램의 미니 앱 생태계를 위한 독점 블록체인 인프라로 자리 잡게 됐다. 21일(현지시각) 코인텔레그래프에 따르면, 새로운 파트너십에 의해 텔레그램은 비법정 결제 수단으로 톤코인(Toncoin)만을 사용하며, 자산 및 서비스"
23:40,2025년 1월 21일 화요일,"시바이누(SHIB), 이더리움과 93% 상관관계… 200% 상승 가능성 주목","21일(현지시간) 암호화폐 전문매체 더크립토베이직에 따르면, 이더리움(ETH)의 시가총액이 200% 상승할 경우 시바이누(SHIB) 가격도 크게 상승할 가능성이 제기되고 있다.   데이터 분석 업체 인투더블록(IntoTheBlock)에 따르면, 시바이누는 지난 30일 동안 이더리움과 93%의 높은 상관관"
23:20,2025년 1월 21일 화요일,트럼프 취임 후 비트코인 조정… 9만 달러냐 11만 달러냐 '기로',"21일(현지시간) 투자 전문매체 FX스트릿에 따르면, 비트코인은 도널드 트럼프 대통령의 취임식 당일 109,588달러로 사상 최고가를 기록했으나, 이후 6.68% 하락하며 102,260달러로 마감했다. 시장 분석에 따르면, 트럼프 연설에서 비트코인에 대한 언급이 없었던 점이 실망감을 불러일으키며 조정을"
23:18,2025년 1월 21일 화요일,"비트코인, 위험 가격대 $90K~$95K로 상향…매도 압력 가능성","비트코인(BTC)이 가장 위험한 지지선 구간을 9만~9만5000 달러 범위로 상향 조정했다고 21일(현지시각) 크립토폴리탄이 보도했다. 이는 이전 8만7000  달러 수준의 지지선에서 변화한 것으로, 신규 매수자들의 보유 가격대를 반영한 결과다. 매도 압력 가능성"
23:11,2025년 1월 21일 화요일,"트론(TRX), 1월 말 0.2456달러 전망… 완만한 상승 기대","21일(현지시간) 암호화폐 전문매체 워처구루에 따르면, 트론(TRX)은 시장의 높은 변동성 속에서도 견조한 위치를 유지하고 있으며, 시가총액 기준으로 10위를 고수하고 있다. 최근 보고서에 따르면, 트론 네트워크의 불법 암호화폐 거래 규모가 2024년에 60억 달러 감소하며 네트워크 신뢰도가 상승하고 있"
22:57,2025년 1월 21일 화요일,암호화폐 펀드 지난주 약 22억달러 순유입 … 트럼프 기대감,전세계 디지털 자산 펀드가 지난주 트럼프 대통령 취임을 앞둔 기대감 속에 약 22억 달러 순유입을 기록했다. 이는 주간 기준 2025년 최대 순유입이다. 코인셰어스 주간 보고서에 따르면 1월 17일 기준으로 이전 한 주 동안 글로벌 암호화폐 펀드에 모두 21억9500만달러가
22:42,2025년 1월 21일 화요일,"마이크로스트래티지, $11억 규모 비트코인 추가 매입","마이크로스트래티지(MicroStrategy)가 지난 1월 13일부터 20일까지 약 1만1000 BTC를 11억 달러에 매입했다고 발표했다. 21일9현지시간) 외신들에 따르면, 이번 매수 평균가는 1BTC당 10만1191달러로 추산됐다. 이는 회사의 11주 연속 비트코인 매입"
22:38,2025년 1월 21일 화요일,[뉴욕 코인시황/출발] 비트코인 10.4만달러 회복 … BOJ 금리 인상 전망에 경계감,"비트코인이 21일 뉴욕 증시 개장을 앞두고 암호화폐 행정명령 불발을 둘러싼 실망감을 소화하며 반등, 10만4000달러를 회복했다. 비트코인은 트럼프 취임 첫날인 전일 사상 최고가를 경신한 뒤 암호화폐 관련 행정명령이 나오지 않은 데 따르는 실망감으로 조정을 겪었으나"
